Angel's Grace	Moment's Peace	71.3
Myojin of Life's Web	Deepwood Drummer	82.1
Aegis of the Gods	Isperia, Supreme Judge	63.05
Hoverguard Sweepers	Jungle Barrier	48.3
Earth Servant	Mask of Avacyn	34.52
Resolute Blademaster	Sage-Eye Avengers	43.2
Gold-Forged Sentinel	Legerdemain	77.63
Dread Reaper	Trail of Evidence	79.19
Priest of Urabrask	Magus of the Tabernacle	74.29
Veteran Motorist	Transcendence	42.5
Seafloor Debris	Ogre Resister	61.34
Cryptolith Rite	Kor Line-Slinger	4.97
Overwhelming Forces	Wolf-Skull Shaman	39.0
Make Obsolete	Extra Arms	49.87
Lead by Example	Hellspark Elemental	88.21
Ersatz Gnomes	Sultai Charm	80.57
Extinction	Pit Fight	60.0
Dwarven Strike Force	Red-Hot Hottie	37.2
Guardian of Solitude	Regal Force	10.6
Bogbrew Witch	Cryptic Gateway	47.86
Windbrisk Raptor	Detainment Spell	81.13
Herald of War	Undergrowth Scavenger	15.94
Karrthus, Tyrant of Jund	Fossil Find	87.76
Jötun Owl Keeper	Rootwater Shaman	67.88
Garruk, Apex Predator	Shadows of the Past	82.92
Secure the Wastes	Fated Infatuation	24.22
Foundry Inspector	Thran Forge	12.82
Gnarlroot Trapper	Celestial Dawn	64.81
Talisman of Progress	Bojuka Bog	21.48
Infected Vermin	Zodiac Snake	65.06
Consuming Ferocity	Kavu Climber	22.25
Spelltithe Enforcer	Goldmeadow Stalwart	27.58
Ring of Valkas	Jace, Memory Adept	83.78
Pyromancer's Swath	Feedback	80.92
Stitchwing Skaab	Student of Warfare	25.37
Unsubstantiate	Dream Fracture	47.69
Flame-Wreathed Phoenix	Ancient Ziggurat	78.21
Pardic Arsonist	Qasali Pridemage	95.28
Harvester Troll	Scattershot Archer	57.1
Tragic Arrogance	Kingfisher	84.58
Intrepid Hero	Chainer, Dementia Master	70.87
Dangerous Wager	Halberdier	74.41
Samite Ministration	Azorius First-Wing	14.67
Seal of the Guildpact	Deathcurse Ogre	88.27
Razor Barrier	Nissa's Expedition	23.0
Puffer Extract	Frightshroud Courier	51.7
Traverse the Ulvenwald	Overeager Apprentice	87.91
Savra, Queen of the Golgari	Harnessed Lightning	59.82
Bye	Mind Twist	100
Krosan Archer	Recollect	73.29
Johan	Fluctuator	61.08
Hellkite Igniter	Artillerize	22.69
Maritime Guard	Narwhal	13.38
Burn Away	Hive Stirrings	48.51
Mist Dragon	Dowsing Shaman	55.04
Clan Defiance	Pious Kitsune	85.19
Centaur Glade	Flamebreak	49.8
Confusion in the Ranks	Primeval Light	23.12
Fencer Clique	Setessan Starbreaker	36.03
Slithery Stalker	Spellgorger Barbarian	60.03
Oppression	Hypergenesis	26.15
Sylvan Library	Arsenal Thresher	6.58
Feast on the Fallen	Aerie Mystics	55.63
Brilliant Halo	Witch Hunter	71.34
Withered Wretch	Finest Hour	22.41
Field of Souls	Contamination	35.62
Blurred Mongoose	Flowstone Strike	89.71
Fool's Demise	Caress of Phyrexia	48.8
Waste Not	Ajani, Caller of the Pride	38.95
Moss Monster	Telim'Tor's Edict	37.21
Retaliate	Ramosian Lieutenant	33.14
Banishing Light	Aerial Caravan	14.05
Beastcaller Savant	Invoke Prejudice	49.69
Quash	Firemaw Kavu	60.51
Disciple of the Vault	Battle Screech	63.96
Verdant Catacombs	Lim-Dûl's Paladin	74.4
Outnumber	Lodestone Myr	38.31
Shrieking Mogg	Predator Ooze	13.01
Mistform Warchief	Stalking Yeti	49.63
The Unspeakable	Booster Tutor	46.89
Dark Favor	Restless Dreams	59.1
Vaporkin	Sludge Strider	26.16
Desecration Demon	Shieldmate's Blessing	4.07
Odric, Lunarch Marshal	Anarchy	78.05
Dregs of Sorrow	Retreat to Coralhelm	42.29
Secluded Steppe	Oubliette	73.1
Rune-Cervin Rider	Royal Trooper	22.24
Questing Phelddagrif	Living Airship	94.35
Gempalm Polluter	Eviscerator	70.45
Falkenrath Aristocrat	Vine Dryad	89.27
Volcanic Submersion	Hand of Honor	79.07
Soltari Champion	Dream Thief	42.17
Torture	Silverglade Elemental	64.41
Crash	Endless Scream	43.11
Select for Inspection	Enlightened Tutor	9.81
Monstrous Hound	Firefly	58.3
Yukora, the Prisoner	Ral Zarek	13.29
Celestial Flare	Ancient Tomb	84.59
Jwar Isle Avenger	Volcanic Wind	50.57
Mirror Mirror	Creature Bond	58.33
Regal Force	Long Road Home	15.04
Ironclaw Buzzardiers	Golem Artisan	70.42
Thopter Assembly	Inquisition of Kozilek	72.36
Helldozer	Savra, Queen of the Golgari	58.53
Leyline of Lifeforce	Elephant Resurgence	48.05
Numot, the Devastator	Mindlock Orb	62.15
Academy Ruins	Beacon of Creation	80.98
Kessig Forgemaster	Sphinx-Bone Wand	36.22
Mindwrack Demon	Sudden Reclamation	83.38
Scrivener	Homura, Human Ascendant	32.53
Highspire Mantis	Scorned Villager	32.9
Sealed Fate	Shifty Doppelganger	64.86
Clockwork Hydra	Flesh to Dust	70.22
Grappling Hook	Sphinx of Jwar Isle	34.51
Inventors' Fair	Hibernation	71.1
Flash	Jinxed Choker	75.39
Predator's Gambit	Horde Ambusher	64.3
Brackwater Elemental	Wall of Resurgence	19.7
Dormant Volcano	Ruthless Ripper	72.19
Fertilid	Lightning Angel	81.63
Goldnight Castigator	Valakut, the Molten Pinnacle	18.72
Mirri, Cat Warrior	Electryte	12.22
Sylvan Scrying	Phyrexian Ingester	67.66
Static Orb	Ironclaw Orcs	80.57
Kangee, Aerie Keeper	Security Blockade	20.66
Necroplasm	Martyr's Bond	48.37
Infiltrator's Magemark	Coastal Tower	42.86
Anti-Magic Aura	Ignition Team	77.05
Sigiled Starfish	Opposition	65.71
Malakir Bloodwitch	Frenzied Fugue	34.54
Providence	Femeref Enchantress	28.2
Ogre Leadfoot	Siren's Call	42.55
Steam Catapult	Yavimaya Barbarian	49.64
Ancient Hydra	Cenn's Enlistment	40.7
Shoulder to Shoulder	Kite Shield	57.77
Humility	Rally the Ancestors	25.9
Shah of Naar Isle	Slobad, Goblin Tinkerer	56.5
Stone-Seeder Hierophant	Revered Unicorn	70.5
Havoc Sower	Compelling Deterrence	78.32
War Oracle	Tithe Drinker	24.1
Ovinize	Freewind Equenaut	90.08
Delay	Desert Twister	60.08
Lord of Atlantis	Spellbreaker Behemoth	19.33
Lotus Path Djinn	Cyclone Sire	64.7
Hivestone	Flameblast Dragon	45.45
Furnace Spirit	Hurloon Shaman	70.19
Kazuul, Tyrant of the Cliffs	Spellbound Dragon	65.92
Realm Seekers	Accelerated Mutation	77.84
Nostalgic Dreams	Dust Elemental	33.4
Reckless Ogre	Aven Warcraft	49.4
Recurring Insight	Woebearer	79.14
Rhox Brute	Glittering Lion	56.94
Traitorous Instinct	Dromar's Charm	86.33
Horror of the Dim	Treva, the Renewer	89.82
Kaleidostone	Glissa's Scorn	65.52
Steamflogger Boss	Glory of Warfare	75.23
Viridian Lorebearers	Spectral Grasp	79.35
Thalia's Lancers	Noxious Revival	48.31
Scion Summoner	Mirrorworks	15.25
Vermiculos	Barbed Wire	63.16
Unquestioned Authority	Fyndhorn Elder	43.64
Touch of Brilliance	Wilt-Leaf Liege	94.1
Psychic Miasma	Fastbond	90.13
Spellshock	Satyr Hedonist	34.67
Topan Freeblade	Karplusan Minotaur	51.87
Null Rod	Xenograft	26.71
Soramaro, First to Dream	Woodlurker Mimic	59.5
Kaseto, Orochi Archmage	Murderous Compulsion	65.38
Korozda Guildmage	Gift of the Woods	83.66
Neurok Stealthsuit	Goblin Charbelcher	89.57
Howling Banshee	Victory's Herald	79.06
Taj-Nar Swordsmith	Ydwen Efreet	28.49
Frostburn Weird	Tunnel Vision	55.58
Chaos Lord	Retaliator Griffin	23.51
Kashi-Tribe Elite	Magma Mine	54.19
Spinerock Knoll	Glass Asp	28.35
Port Town	Burnt Offering	46.05
Moldervine Cloak	Guttersnipe	85.79
Wildheart Invoker	Faerie Trickery	50.78
Proteus Staff	Rumbling Slum	58.19
Loam Dweller	Decimator of the Provinces	20.31
Scrapdiver Serpent	Necromantic Selection	9.67
Adarkar Sentinel	Saltcrusted Steppe	75.95
Heir of Falkenrath	Footsteps of the Goryo	43.32
Meteor Crater	Treva's Ruins	32.61
Wall of Vapor	Bloodshed Fever	63.58
Cognivore	Gnat Alley Creeper	30.32
Second Sunrise	Griselbrand	82.32
Veinfire Borderpost	Urza's Armor	41.8
Nature's Wrath	Volrath's Curse	59.02
Dramatic Entrance	Mirror-Sigil Sergeant	63.2
Seething Pathblazer	Predator Dragon	11.02
Soul of Ravnica	Fevered Strength	11.9
Contagion Clasp	Switcheroo	62.6
Endrek Sahr, Master Breeder	Wasteland Viper	73.09
Tetravus	Cathar's Companion	28.7
Wolf Pack	Steam Frigate	24.66
Spider Spawning	Wispweaver Angel	21.03
Warstorm Surge	Gang of Elk	18.1
Apostle's Blessing	Lowland Giant	11.66
Elemental Uprising	Eye of Ugin	87.76
Quarum Trench Gnomes	Selesnya Evangel	67.3
Make a Wish	Kozilek's Return	74.14
Dragon Broodmother	Armadillo Cloak	39.59
Fork in the Road	Suicidal Charge	58.12
Illusionary Wall	Pieces of the Puzzle	47.07
Taurean Mauler	Archivist	60.82
Pale Rider of Trostad	Subtle Strike	48.98
Knotvine Mystic	Skinshifter	73.91
Bonehoard	Grenzo's Ruffians	76.98
Gorilla Shaman	Angel of Invention	56.78
Magus of the Scroll	Spectral Grasp	37.38
Orb of Dreams	Appetite for Brains	35.66
Thalia's Lancers	Pygmy Troll	89.09
Sage of Ancient Lore	Burning Anger	68.02
Tatsumasa, the Dragon's Fang	Obelisk of Alara	48.7
Ruhan of the Fomori	Mindslicer	48.34
Nekusar, the Mindrazer	Jori En, Ruin Diver	55.63
Grave Upheaval	Farbog Boneflinger	19.25
Slaughterhorn	Flow of Ideas	54.88
Abbot of Keral Keep	Thirst	90.68
Heliod's Pilgrim	Keldon Firebombers	52.64
Goblin Game	Relic Bane	74.72
Sliver Overlord	Vanish into Memory	72.38
Final Strike	Olivia Voldaren	2.83
Trash for Treasure	Geistcatcher's Rig	19.87
Death or Glory	Solitary Confinement	62.8
Goblin Vandal	Dack's Duplicate	17.0
Ballista Charger	Sulfurous Blast	34.89
Fracturing Gust	Bog Initiate	87.09
Cateran Slaver	Unstable Obelisk	69.6
Fiery Gambit	Ensnare	67.22
Mortal's Resolve	Wharf Infiltrator	81.41
Dragon-Style Twins	Planar Cleansing	71.99
Fathom Trawl	Blightning	16.69
Cloistered Youth	Butcher's Glee	27.92
Singe-Mind Ogre	Mystic Compass	80.42
Nivix Guildmage	Ethereal Guidance	94.18
Shimmer Myr	Kashi-Tribe Elite	17.65
Conjurer's Bauble	Spider Climb	21.49
Retether	Village Bell-Ringer	51.63
Uktabi Orangutan	Orochi Hatchery	38.94
Mirari	Dual Casting	15.99
Fault Riders	Radjan Spirit	54.93
Godsend	Goblin Test Pilot	20.64
Last Gasp	Reprisal	56.98
From Beyond	Living Wish	61.13
Congregation at Dawn	Mind Grind	41.84
Coiling Oracle	Morselhoarder	92.14
Godsire	Patriarch's Bidding	50.77
Force of Will	Yidris, Maelstrom Wielder	23.65
Accorder Paladin	Downhill Charge	71.04
Chicken Egg	Cragganwick Cremator	34.15
Canker Abomination	Johnny, Combo Player	45.5
Vampire Hexmage	Rushwood Herbalist	96.55
Curtains' Call	Mox Ruby	86.4
Nissa, Voice of Zendikar	Flowstone Blade	91.94
Due Respect	Hooded Hydra	16.56
Culling the Weak	Fecundity	33.84
Orzhov Pontiff	Hindering Light	66.41
Remorseless Punishment	Phyrexian Totem	49.17
Mana Confluence	Slagstorm	69.5
Into the North	Disrupting Scepter	38.0
Flusterstorm	Hit	86.33
Keeper of the Light	Lu Xun, Scholar General	87.51
Leyline of the Void	Scornful Egotist	35.84
Frost Breath	Clockspinning	31.7
Headhunter	Taigam's Scheming	40.06
Humbler of Mortals	Sunforger	88.19
Illusory Ambusher	Frontier Siege	63.88
Black Vise	Anax and Cymede	33.7
Charisma	Child of Thorns	83.56
Linvala, the Preserver	Peach Garden Oath	21.4
Flowstone Crusher	Slaughterhorn	20.24
Crawlspace	Staff of Nin	31.7
Panic Spellbomb	Oriss, Samite Guardian	22.48
Bitter Revelation	Elite Arcanist	64.11
Eldrazi Obligator	Tundra	82.98
Faith Unbroken	Kodama's Reach	87.04
Jungle Shrine	One with Nature	39.35
Blazing Torch	Illusionary Presence	18.5
Heartwood Storyteller	Revoke Existence	26.26
Living Totem	Temple of Epiphany	85.65
Soul Net	Jump	65.3
Whelming Wave	Tooth and Nail	21.35
Succumb to Temptation	Trail of Mystery	34.7
Elite Vanguard	Wickerbough Elder	65.03
Drifting Djinn	Puppet Conjurer	32.94
Far Wanderings	Wrap in Flames	21.45
Scorching Lava	Jedit's Dragoons	33.88
Squee's Revenge	Dispense Justice	61.0
Lavafume Invoker	Nim Deathmantle	86.8
Dhund Operative	Orcish Mine	54.3
Kavu Monarch	Serra Aviary	33.62
Yavimaya Dryad	Dive Bomber	88.39
Lin Sivvi, Defiant Hero	Fencing Ace	77.49
Voice of All	Alpha Brawl	43.53
Ponyback Brigade	Llanowar Elves	16.34
Kalitas, Bloodchief of Ghet	Thorn of Amethyst	67.42
Manabond	Uncontrolled Infestation	13.82
Nether Spirit	Nucklavee	43.45
Geth, Lord of the Vault	Misers' Cage	87.85
Krosan Warchief	Serendib Djinn	70.59
Llawan, Cephalid Empress	Arcane Laboratory	34.14
Evolution Charm	Hurr Jackal	18.4
Oversoul of Dusk	Divination	51.87
Freewind Falcon	Norwood Ranger	31.0
Essence Backlash	Sensei Golden-Tail	63.28
Kessig Cagebreakers	Sand Squid	17.08
Skysovereign, Consul Flagship	Spawnwrithe	71.68
Saltblast	Hypervolt Grasp	39.62
Congregate	Squall	33.97
Panharmonicon	See Beyond	13.02
Daring Sleuth	Tears of Rage	19.72
Kokusho, the Evening Star	Pyromancy	5.34
Treasured Find	Regal Behemoth	60.41
Mercurial Chemister	Ponder	84.55
Fellwar Stone	Battlewise Hoplite	36.93
Granite Grip	Boomerang	94.53
Nezumi Shortfang	Assault Strobe	47.52
Dragonscale General	Necrogenesis	62.18
Dire Wolves	Crypt Incursion	24.5
Ulvenwald Bear	Champion's Helm	21.67
Zephyr Charge	City of Ass	42.65
Mangara of Corondor	Attrition	62.03
Chandra Ablaze	Shattered Crypt	17.59
Dermoplasm	Thran Dynamo	85.67
Devout Harpist	Akiri, Line-Slinger	70.01
Command Tower	Essence of the Wild	38.39
Atalya, Samite Master	Windbrisk Heights	83.36
Marath, Will of the Wild	Song of Blood	83.47
Volcanic Hammer	True Conviction	67.58
Weaver of Lightning	Probe	46.31
Time Stop	Treasure Trove	12.32
Stream Hopper	Mortal's Ardor	49.83
Juniper Order Druid	Drifting Meadow	61.74
Slagstorm	Ana Disciple	82.84
Saskia the Unyielding	Rancid Earth	77.67
Trostani's Summoner	Mad Auntie	56.85
Immortal Servitude	Cardboard Carapace	18.25
Innocent Blood	Duh	75.08
Whisperwood Elemental	Darksteel Gargoyle	85.58
Rakdos the Defiler	Dwynen, Gilt-Leaf Daen	39.43
Apostle's Blessing	Aetherborn Marauder	62.96
Pia and Kiran Nalaar	Ghostly Touch	7.31
Deathrite Shaman	Give	88.95
Ghoulcaller's Chant	Gobbling Ooze	39.83
Horizon Chimera	Staff of Zegon	93.37
Kingpin's Pet	Saffi Eriksdotter	78.61
Merrow Harbinger	Life's Legacy	76.14
Archdemon of Unx	Foundry Inspector	75.18
Chalice of the Void	Devout Invocation	19.97
Skyline Predator	Shatterstorm	11.81
Prowess of the Fair	Akoum Stonewaker	30.99
Talon of Pain	Demon's Herald	51.84
Sharuum the Hegemon	Dragon Egg	80.92
Smelt	Leonin Bola	41.72
Battering Craghorn	Ghirapur Aether Grid	17.97
Nihil Spellbomb	Engineered Explosives	17.01
Sheer Drop	Wrench Mind	65.76
Ophidian Eye	Disciple of Kangee	83.8
Iridescent Angel	Ice Floe	18.83
Brutal Expulsion	Hanweir Garrison	26.01
Story Circle	Crush of Tentacles	75.9
Cunning	Vitalizing Cascade	38.43
Clergy of the Holy Nimbus	Kalonian Twingrove	81.71
Lunar Mystic	Council of the Absolute	47.49
Phyrexian Totem	Faerie Tauntings	46.48
Gravity Well	Lead-Belly Chimera	68.18
Misty Rainforest	Deranged Assistant	21.37
Brindle Boar	Thieving Magpie	19.14
Lazav, Dimir Mastermind	Retaliator Griffin	22.16
Gloom Surgeon	Coursers' Accord	56.92
Grafted Exoskeleton	Fangren Marauder	59.23
Tamiyo, Field Researcher	Seasinger	11.8
Rappelling Scouts	Mycosynth Lattice	94.04
Watcher in the Web	Equinox	55.7
Falkenrath Aristocrat	Gryff's Boon	11.56
Grasp of Darkness	Rime Transfusion	10.4
Keeper of Keys	Memory's Journey	32.3
Angelic Skirmisher	Shatter	43.41
Dark Prophecy	Plunge into Darkness	60.21
Sire of the Storm	Ulamog's Reclaimer	39.6
Colfenor's Urn	Thraximundar	20.38
Horizon Canopy	Siege-Gang Commander	48.23
Disrupt	Songstitcher	86.5
Goblin Spelunkers	Dragonrage	25.99
Monstrify	Hateflayer	74.56
Maw of Kozilek	Glittering Wish	10.18
Kamahl's Summons	Faerie Squadron	70.66
Su-Chi	Mystic Snake	85.9
Foresight	Breath of Malfegor	51.6
Biorhythm	Zhur-Taa Druid	39.15
Pious Warrior	Stigma Lasher	92.93
Sword of the Ages	Krakilin	55.43
Preordain	Pestilence Demon	81.8
Planar Birth	Joraga Warcaller	32.67
Herald of Leshrac	Demonic Tutor	14.79
Pus Kami	Wall of Junk	56.55
Ethereal Armor	Sword of the Paruns	36.45
Living Hive	Tidal Kraken	69.13
Astral Slide	Vengeful Pharaoh	29.11
Stoneforge Mystic	Green Ward	97.08
Retract	Cognivore	68.0
Deputized Protester	Words of Worship	53.6
Pestilence Rats	Loxodon Peacekeeper	59.9
Angelic Benediction	Hammerheim Deadeye	67.92
Duskworker	Dragon Throne of Tarkir	20.68
Kruphix, God of Horizons	Furyblade Vampire	9.47
Niblis of Dusk	Tourach's Gate	35.42
Winter's Chill	Dryad Militant	85.08
Spike Rogue	Privileged Position	85.1
Firemind's Foresight	Harsh Mercy	29.79
Rysorian Badger	Cyclops of Eternal Fury	64.92
Bear Umbra	Plow Under	43.01
Combust	Foil	64.86
Dragon Breath	Aura Graft	36.01
Grave Sifter	Chancellor of the Forge	65.95
Plow Under	Counterintelligence	19.68
Dynavolt Tower	Turntimber Basilisk	16.76
Mortal Wound	Morgue Toad	61.88
Orchard Spirit	Gilt-Leaf Winnower	7.85
Fighting Drake	Glaze Fiend	78.85
Thraben Valiant	Veiled Crocodile	35.22
Tezzeret, Agent of Bolas	Thunderbreak Regent	66.92
Reckless Assault	Encircling Fissure	48.65
Terastodon	Sage-Eye Harrier	95.95
Village Messenger	Murasa Pyromancer	35.62
Bellowing Saddlebrute	Perimeter Captain	58.11
Scryb Ranger	Timesifter	45.02
Killer Bees	Jackal Familiar	62.81
Strands of Night	Ulvenwald Captive	52.72
Camouflage	Warden of the Beyond	52.58
Vexing Sphinx	Willow Priestess	66.8
Lone Missionary	Stromgald Crusader	60.36
Slith Bloodletter	Rootwater Hunter	43.0
Near-Death Experience	Trench Gorger	28.06
Hellfire	Unstoppable Ash	41.22
Burgeoning	Magus of the Coffers	61.44
Mournful Zombie	Crown of Ascension	64.02
Dusk Urchins	Frenzy Sliver	65.11
Bitter Ordeal	Shrapnel Blast	53.21
Abu Ja'far	Kor Chant	59.92
Tsunami	Refurbish	52.83
Witchstalker	Megrim	38.22
Recoup	Ballyrush Banneret	45.71
Kor Aeronaut	Legion's Initiative	84.3
Emerge Unscathed	Conversion	62.28
Waterveil Cavern	Taunt	67.96
Brontotherium	Tombfire	40.48
Seal of Strength	Roar of the Crowd	64.28
Rock Hydra	Hissing Iguanar	65.61
Collective Brutality	Jace, the Living Guildpact	78.6
Starfall	Jungle Patrol	66.05
Lone Rider	Tanglebloom	5.8
Ghostly Sentinel	Keepsake Gorgon	81.56
Hoarding Dragon	Paragon of Eternal Wilds	26.3
Esper Stormblade	Mindeye Drake	80.42
Vorinclex, Voice of Hunger	Master of the Pearl Trident	45.4
Fire Dragon	Mistform Mutant	59.35
Severed Legion	Flamecore Elemental	60.83
Skaab Ruinator	Anger of the Gods	27.93
Ulasht, the Hate Seed	Chandra Ablaze	52.74
Mournwhelk	Runed Stalactite	57.4
Minotaur Warrior	Reflecting Mirror	33.48
Krosan Tusker	Izzet Guildmage	58.17
Hollow Specter	Flaring Flame-Kin	38.92
Pollenbright Wings	Nemata, Grove Guardian	45.8
Springleaf Drum	Shadowmage Infiltrator	70.17
Sandsteppe Scavenger	Otherworldly Journey	9.51
Seal of Fire	Yavimaya Enchantress	48.17
Perilous Shadow	Encroaching Wastes	57.91
Unmake	Silklash Spider	31.6
Springleaf Drum	Gearshift Ace	22.61
Druids' Repository	Voracious Dragon	42.99
